mode,tick,proposal_count,incident_count,veto_count,decision_count,approved_count,denied_count,executor_count
policy-only,1,0,0,0,0,0,0,0
policy-only,2,0,0,0,0,0,0,0
policy-only,3,0,0,0,0,0,0,0
policy-only,4,0,0,0,0,0,0,0
policy-only,5,0,0,0,0,0,0,0
policy-only,6,0,0,0,0,0,0,0
policy-only,7,0,0,0,0,0,0,0
policy-only,8,0,0,0,0,0,0,0
policy-only,9,0,0,0,0,0,0,0
policy-only,10,0,0,0,0,0,0,0
agents+policy,1,5,0,0,5,5,0,0
agents+policy,2,5,0,0,5,5,0,0
agents+policy,3,5,0,0,5,5,0,0
agents+policy,4,5,0,0,5,5,0,0
agents+policy,5,5,0,0,5,5,0,0
agents+policy,6,5,0,0,5,5,0,0
agents+policy,7,5,0,0,5,5,0,0
agents+policy,8,5,0,0,5,5,0,0
agents+policy,9,5,0,0,5,5,0,0
agents+policy,10,5,0,0,5,5,0,0
full,1,5,0,0,5,5,0,5
full,2,5,0,0,5,5,0,5
full,3,5,0,0,5,5,0,5
full,4,5,0,0,5,5,0,5
full,5,5,0,0,5,5,0,5
full,6,5,0,0,5,5,0,5
full,7,5,0,0,5,5,0,5
full,8,5,0,0,5,5,0,5
full,9,5,0,0,5,5,0,5
full,10,5,0,0,5,5,0,5
