mode,tick,proposal_count,incident_count,veto_count,decision_count,approved_count,denied_count,executor_count
policy-only,1,0,0,0,0,0,0,0
policy-only,2,0,0,0,0,0,0,0
policy-only,3,0,0,0,0,0,0,0
policy-only,4,0,0,0,0,0,0,0
policy-only,5,0,0,0,0,0,0,0
policy-only,6,0,0,0,0,0,0,0
policy-only,7,0,0,0,0,0,0,0
policy-only,8,0,0,0,0,0,0,0
policy-only,9,0,0,0,0,0,0,0
policy-only,10,0,0,0,0,0,0,0
agents+policy,1,10,0,0,10,10,0,0
agents+policy,2,10,0,0,10,10,0,0
agents+policy,3,10,0,0,10,10,0,0
agents+policy,4,10,0,0,10,10,0,0
agents+policy,5,10,0,0,10,10,0,0
agents+policy,6,10,0,0,10,10,0,0
agents+policy,7,10,0,0,10,10,0,0
agents+policy,8,10,0,0,10,10,0,0
agents+policy,9,10,0,0,10,10,0,0
agents+policy,10,10,0,0,10,10,0,0
full,1,10,0,0,10,10,0,10
full,2,10,0,0,10,10,0,10
full,3,10,0,0,10,10,0,10
full,4,10,0,0,10,10,0,10
full,5,10,0,0,10,10,0,10
full,6,10,0,0,10,10,0,10
full,7,10,0,0,10,10,0,10
full,8,10,0,0,10,10,0,10
full,9,10,0,0,10,10,0,10
full,10,10,0,0,10,10,0,10
